ts,Precipitacion
2021-03-17T00:01:15.000Z,0.0
2021-03-17T00:11:19.000Z,0.0
2021-03-17T00:22:58.000Z,0.0
2021-03-17T00:33:27.000Z,0.0
2021-03-17T00:55:57.000Z,0.0
2021-03-17T01:17:20.000Z,0.0
2021-03-17T01:27:28.000Z,0.0
2021-03-17T01:40:00.000Z,0.0
2021-03-17T01:50:14.000Z,0.0
2021-03-17T02:00:23.000Z,0.0
2021-03-17T02:12:45.000Z,0.0
2021-03-17T02:22:29.000Z,0.0
2021-03-17T02:33:06.000Z,0.0
2021-03-17T02:56:20.000Z,0.0
2021-03-17T03:07:23.000Z,0.0
2021-03-17T03:17:06.000Z,0.0
2021-03-17T03:28:09.000Z,0.0
2021-03-17T03:39:25.000Z,0.0
2021-03-17T03:51:01.000Z,0.0
2021-03-17T04:00:55.000Z,0.0
2021-03-17T04:11:42.000Z,0.0
2021-03-17T04:22:29.000Z,0.0
2021-03-17T04:34:06.000Z,0.0
2021-03-17T04:44:31.000Z,0.0
2021-03-17T04:55:06.000Z,0.0
2021-03-17T05:05:40.000Z,0.0
2021-03-17T05:16:12.000Z,0.0
2021-03-17T05:28:23.000Z,0.0
2021-03-17T05:38:20.000Z,0.0
2021-03-17T05:49:09.000Z,0.0
2021-03-17T06:00:46.000Z,0.0
2021-03-17T06:10:45.000Z,0.0
2021-03-17T06:22:20.000Z,0.0
2021-03-17T06:33:48.000Z,0.0
2021-03-17T06:44:51.000Z,0.0
2021-03-17T06:54:51.000Z,0.0
2021-03-17T07:06:50.000Z,0.0
2021-03-17T07:16:18.000Z,0.0
2021-03-17T07:27:29.000Z,0.0
2021-03-17T07:38:14.000Z,0.0
2021-03-17T07:49:46.000Z,0.0
2021-03-17T07:59:47.000Z,0.0
2021-03-17T08:11:00.000Z,0.0
2021-03-17T08:21:50.000Z,0.0
2021-03-17T08:33:01.000Z,0.0
2021-03-17T08:43:57.000Z,0.0
2021-03-17T08:55:40.000Z,0.0
2021-03-17T09:05:32.000Z,0.0
2021-03-17T09:17:17.000Z,0.0
2021-03-17T09:27:47.000Z,0.0
2021-03-17T09:38:05.000Z,0.0
2021-03-17T09:50:04.000Z,0.0
2021-03-17T09:59:48.000Z,0.0
2021-03-17T10:11:37.000Z,0.0
2021-03-17T10:23:00.000Z,0.0
2021-03-17T10:33:09.000Z,0.0
2021-03-17T10:43:51.000Z,0.0
2021-03-17T10:55:47.000Z,0.0
2021-03-17T11:06:01.000Z,0.0
2021-03-17T11:16:49.000Z,0.0
2021-03-17T11:28:04.000Z,0.0
2021-03-17T11:38:40.000Z,0.0
2021-03-17T11:49:13.000Z,0.0
2021-03-17T12:11:00.000Z,0.0
2021-03-17T12:22:37.000Z,0.0
2021-03-17T12:33:22.000Z,0.0
2021-03-17T12:43:49.000Z,0.0
2021-03-17T12:54:47.000Z,0.0
2021-03-17T13:06:46.000Z,0.0
2021-03-17T13:16:56.000Z,0.0
2021-03-17T13:27:09.000Z,0.0
2021-03-17T13:38:02.000Z,0.0
2021-03-17T13:49:53.000Z,0.0
2021-03-17T14:00:29.000Z,0.0
2021-03-17T14:00:35.000Z,0.0
2021-03-17T14:22:14.000Z,0.0
2021-03-17T14:34:15.000Z,0.0
2021-03-17T14:54:43.000Z,0.0
2021-03-17T15:06:02.000Z,0.0
2021-03-17T15:27:55.000Z,0.0
2021-03-17T15:39:17.000Z,0.0
2021-03-17T15:49:23.000Z,0.0
2021-03-17T16:11:20.000Z,0.0
2021-03-17T16:22:51.000Z,0.0
2021-03-17T16:32:45.000Z,0.0
2021-03-17T16:44:44.000Z,0.0
2021-03-17T16:54:51.000Z,0.0
2021-03-17T17:05:44.000Z,0.0
2021-03-17T17:17:52.000Z,0.0
2021-03-17T17:28:16.000Z,0.0
2021-03-17T17:38:52.000Z,0.0
2021-03-17T17:50:15.000Z,0.0
2021-03-17T18:01:20.000Z,0.0
2021-03-17T18:11:31.000Z,0.0
2021-03-17T18:23:42.000Z,0.0
2021-03-17T18:44:36.000Z,0.0
2021-03-17T18:55:25.000Z,0.0
2021-03-17T19:06:12.000Z,0.0
2021-03-17T19:16:54.000Z,0.0
2021-03-17T19:17:58.000Z,0.0
2021-03-17T19:39:49.000Z,0.0
2021-03-17T19:49:47.000Z,0.0
2021-03-17T20:00:36.000Z,0.0
2021-03-17T20:11:14.000Z,0.0
2021-03-17T20:22:46.000Z,0.0
2021-03-17T20:34:20.000Z,0.0
2021-03-17T20:55:14.000Z,0.0
2021-03-17T21:05:46.000Z,0.0
2021-03-17T21:17:04.000Z,0.0
2021-03-17T21:27:44.000Z,0.0
2021-03-17T21:39:49.000Z,0.0
2021-03-17T21:49:29.000Z,0.0
2021-03-17T22:01:55.000Z,0.0
2021-03-17T22:12:06.000Z,0.0
2021-03-17T22:22:24.000Z,0.0
2021-03-17T22:34:38.000Z,0.0
2021-03-17T22:55:09.000Z,0.0
2021-03-17T23:06:05.000Z,0.0
2021-03-17T23:17:51.000Z,0.0
2021-03-17T23:28:17.000Z,0.0
2021-03-17T23:49:23.000Z,0.0
2021-03-18T00:00:29.000Z,0.0
2021-03-18T00:11:37.000Z,0.0
2021-03-18T00:23:22.000Z,0.0
2021-03-18T00:33:43.000Z,0.0
2021-03-18T00:56:22.000Z,0.0
2021-03-18T01:07:17.000Z,0.0
2021-03-18T01:17:08.000Z,0.0
2021-03-18T01:28:43.000Z,0.0
2021-03-18T01:38:34.000Z,0.0
2021-03-18T02:01:44.000Z,0.0
2021-03-18T02:11:25.000Z,0.0
2021-03-18T02:22:33.000Z,0.0
2021-03-18T02:33:27.000Z,0.0
2021-03-18T02:44:07.000Z,0.0
2021-03-18T02:55:21.000Z,0.0
2021-03-18T03:05:58.000Z,0.0
2021-03-18T03:17:31.000Z,0.0
2021-03-18T03:27:36.000Z,0.0
2021-03-18T03:38:32.000Z,0.0
2021-03-18T03:50:30.000Z,0.0
2021-03-18T04:00:14.000Z,0.0
2021-03-18T04:11:34.000Z,0.0
2021-03-18T04:23:38.000Z,0.0
2021-03-18T04:33:50.000Z,0.0
2021-03-18T04:44:54.000Z,0.0
2021-03-18T04:55:28.000Z,0.0
2021-03-18T05:06:04.000Z,0.0
2021-03-18T05:17:15.000Z,0.0
2021-03-18T05:28:03.000Z,0.0
2021-03-18T05:38:48.000Z,0.0
2021-03-18T05:49:37.000Z,0.0
2021-03-18T06:00:56.000Z,0.0
2021-03-18T06:11:49.000Z,0.0
2021-03-18T06:23:23.000Z,0.0
2021-03-18T06:33:28.000Z,0.0
2021-03-18T06:44:31.000Z,0.0
2021-03-18T06:55:08.000Z,0.0
2021-03-18T07:05:47.000Z,0.0
2021-03-18T07:17:04.000Z,0.0
2021-03-18T07:28:18.000Z,0.0
2021-03-18T07:38:17.000Z,0.0
2021-03-18T07:50:33.000Z,0.0
2021-03-18T08:01:03.000Z,0.0
2021-03-18T08:12:03.000Z,0.0
2021-03-18T08:21:58.000Z,0.0
2021-03-18T08:33:04.000Z,0.0
2021-03-18T08:44:18.000Z,0.0
2021-03-18T08:54:54.000Z,0.0
2021-03-18T09:06:10.000Z,0.0
2021-03-18T09:16:40.000Z,0.0
2021-03-18T09:28:41.000Z,0.0
2021-03-18T09:39:39.000Z,0.0
2021-03-18T09:49:06.000Z,0.0
2021-03-18T10:01:05.000Z,0.0
2021-03-18T10:11:46.000Z,0.0
2021-03-18T10:22:32.000Z,0.0
2021-03-18T10:33:35.000Z,0.0
